ip_request_rate,method_encoded,avg_time_between_requests,unique_endpoints,is_sensitive_endpoint
8,0,0.638,7,0
14,1,0.947,7,0
1,0,4.029,7,0
9,1,4.082,4,0
9,1,1.594,2,0
163,0,0.174,1,1
5,0,2.577,3,0
8,1,1.439,5,0
6,0,1.741,2,0
104,0,0.072,1,1
11,0,1.396,5,0
4,0,3.294,5,0
187,3,0.152,1,0
144,0,0.19,1,1
190,1,0.093,1,0
8,0,3.127,2,0
164,3,0.158,1,1
10,0,0.648,7,1
4,0,3.45,3,0
13,0,3.169,2,0
9,1,3.619,5,0
4,1,3.736,3,1
11,0,1.926,4,0
7,0,2.472,5,1
11,1,0.999,5,1
2,0,2.699,2,0
4,0,1.968,6,0
4,0,1.298,4,0
14,0,4.511,5,1
9,0,2.828,4,0
2,1,1.616,5,0
1,0,3.823,6,0
138,0,0.056,1,1
9,1,3.089,2,0
10,1,4.786,4,0
8,1,4.795,4,0
123,2,0.083,1,1
1,0,1.886,7,0
5,1,3.71,3,0
3,0,1.991,7,0
12,1,4.505,4,0
12,0,2.692,7,0
3,1,2.981,7,0
2,1,0.651,4,0
12,1,0.934,4,0
9,0,0.946,5,0
6,0,3.205,4,0
6,1,4.883,4,1
2,0,1.15,6,0
9,0,3.884,5,0
12,1,4.069,4,1
6,0,4.917,5,0
9,1,1.869,5,0
20,1,0.111,1,0
10,1,1.713,7,0
6,1,2.462,6,0
2,1,1.913,7,1
7,0,2.398,2,0
13,1,4.407,6,0
13,1,2.616,5,0
4,0,4.044,2,0
12,1,3.732,7,0
5,1,2.319,5,0
1,0,4.52,2,0
9,1,0.709,2,0
6,0,1.185,5,0
9,0,3.593,5,0
4,0,4.008,4,0
5,0,3.871,5,0
3,0,3.085,7,0
1,1,4.902,7,0
14,1,4.831,3,0
10,0,4.485,4,0
13,1,1.465,5,0
4,0,4.557,3,0
10,1,3.787,3,1
12,0,2.842,7,0
7,0,1.767,2,0
9,1,4.303,6,0
1,1,1.797,3,0
8,0,1.468,7,0
9,1,3.391,2,1
4,0,2.696,3,1
12,0,1.848,3,0
11,1,3.586,4,1
6,1,4.62,7,0
2,0,4.174,7,0
9,0,4.443,4,0
1,0,2.392,2,1
10,0,2.882,3,0
6,1,4.674,5,0
10,1,2.37,7,0
14,1,2.25,3,0
3,1,0.503,3,0
30,2,0.08,1,1
4,1,2.726,6,0
11,0,4.047,7,1
11,0,4.97,4,1
10,1,1.528,5,0
6,0,1.151,7,0
3,0,4.402,4,0
3,1,0.817,3,0
1,1,3.388,5,0
13,0,4.306,4,0
103,1,0.044,1,0
12,1,0.671,3,0
3,0,3.581,2,1
6,0,0.793,2,0
9,1,1.414,2,0
10,0,3.421,4,0
13,0,0.86,7,0
9,1,2.19,6,0
5,0,4.494,5,1
77,3,0.081,1,1
5,0,1.028,5,0
2,0,3.862,2,0
9,1,1.607,4,0
9,1,0.903,5,0
81,0,0.136,1,0
6,0,4.64,4,0
4,0,3.147,5,0
8,0,3.523,5,0
62,0,0.056,1,1
10,0,4.923,6,0
5,1,2.527,7,0
71,2,0.033,1,0
3,0,3.153,6,0
3,1,4.719,4,0
2,0,1.732,6,0
2,0,4.683,7,0
6,1,4.579,7,1
1,0,1.83,3,0
13,0,1.954,2,0
6,0,0.958,7,0
5,0,2.556,2,1
12,1,0.574,7,0
5,0,4.414,3,1
3,1,0.984,7,0
3,1,3.941,5,1
14,1,0.963,3,0
198,1,0.11,1,1
12,1,4.762,7,0
1,0,1.613,2,0
7,1,2.022,3,0
11,1,1.503,2,0
3,0,4.374,5,0
2,1,4.061,4,0
9,1,1.913,6,0
1,0,3.011,5,0
22,2,0.193,1,0
5,0,1.261,3,0
3,0,3.984,6,0
10,0,4.989,6,0
5,1,4.267,4,0
50,2,0.079,1,1
7,1,0.818,4,1
7,1,4.817,3,1
6,0,4.94,5,0
8,0,4.684,5,0
4,0,4.112,7,0
14,0,4.377,5,0
14,1,2.522,4,1
11,1,1.053,5,1
185,1,0.144,1,0
12,0,1.376,6,0
3,1,1.029,5,0
1,0,4.078,5,0
13,1,1.282,5,0
7,0,2.605,3,0
7,0,2.389,7,1
11,0,3.789,3,1
2,1,3.014,6,0
14,1,3.627,7,0
8,0,3.264,2,0
14,1,1.965,2,0
14,0,3.385,6,0
9,1,3.52,4,1
11,1,1.023,5,0
12,0,2.055,5,0
9,0,2.763,3,0
11,0,4.322,3,0
10,0,4.146,6,0
12,1,2.161,3,0
14,1,1.726,5,0
14,1,4.728,4,0
8,1,3.417,3,0
4,0,4.757,3,0
9,0,3.869,4,0
1,1,1.656,4,0
4,0,1.541,7,0
14,0,3.629,5,0
3,1,1.946,4,1
9,0,1.531,5,0
79,3,0.014,1,1
2,0,2.419,7,0
5,0,2.622,6,0
14,0,4.44,6,0
106,2,0.13,1,0
1,0,4.446,3,0
7,0,1.788,4,0
14,0,4.81,3,0
10,1,3.576,5,0
14,0,1.157,3,0
12,0,1.495,2,0
10,1,3.469,6,0
8,0,4.2,4,0
107,3,0.199,1,0
3,1,2.176,5,0
9,0,2.527,7,0
11,0,1.459,5,0
1,0,1.06,5,0
5,0,4.363,2,0
1,1,2.81,5,0
9,1,0.908,4,0
1,0,3.614,2,0
8,0,0.625,5,0
3,0,0.804,5,0
13,1,1.324,4,0
9,0,0.535,6,1
6,0,2.785,3,0
2,0,4.642,2,0
13,0,3.931,7,1
31,0,0.021,1,0
10,0,4.463,6,1
9,1,0.914,6,0
10,1,4.797,2,1
29,0,0.066,1,1
2,0,2.555,5,0
4,1,2.821,2,0
4,1,2.228,4,0
3,0,4.542,4,0
4,0,4.118,7,1
14,1,1.433,4,0
8,0,4.221,5,1
5,1,4.04,2,0
13,1,4.768,7,0
2,0,2.355,5,0
2,1,2.978,7,0
3,1,1.745,4,0
92,2,0.136,1,0
4,1,4.001,4,0
1,0,4.488,3,0
8,0,2.185,3,0
10,1,1.344,5,1
12,1,1.1,6,0
1,0,2.685,3,0
7,1,1.528,3,0
2,0,4.769,3,0
10,1,1.703,5,0
3,0,1.753,3,1
10,1,4.063,4,0
7,0,0.558,5,0
8,0,3.063,5,0
1,1,4.652,3,0
12,0,1.331,3,0
9,0,3.705,6,0
3,1,2.198,7,1
9,0,1.521,5,0
13,1,1.268,6,0
75,1,0.081,1,0
8,1,1.548,2,0
187,2,0.049,1,1
3,1,2.237,7,1
10,0,3.444,2,1
1,1,2.446,6,0
9,1,1.209,5,0
14,1,1.454,7,0
7,0,4.647,6,0
10,0,3.205,6,0
6,1,3.486,6,0
2,1,1.244,6,0
199,0,0.023,1,1
10,1,4.919,4,0
13,1,3.909,3,0
13,0,2.254,6,0
2,1,3.365,3,0
7,0,4.075,3,0
3,1,3.751,6,0
4,1,2.609,6,0
3,1,1.197,4,0
2,1,4.057,5,0
7,0,3.33,3,1
13,1,1.488,2,0
11,1,4.215,5,1
10,0,2.421,6,0
13,0,3.267,3,0
166,2,0.14,1,0
12,0,0.637,2,0
8,1,1.11,2,0
14,0,0.511,7,0
9,0,2.746,3,0
6,1,1.857,2,0
8,1,1.875,4,0
8,1,4.166,5,0
96,1,0.024,1,1
8,0,2.725,2,0
14,0,1.789,6,0
95,0,0.078,1,1
6,0,1.024,5,0
23,0,0.023,1,0
5,1,2.533,7,0
11,1,4.449,6,0
12,1,4.977,6,0
4,1,4.823,3,0
136,1,0.035,1,0
7,1,2.116,4,1
3,1,2.621,6,0
156,3,0.109,1,0
9,1,3.138,2,0
68,0,0.132,1,1
14,0,0.6,4,0
12,0,0.6,4,0
13,1,3.037,5,1
7,0,2.348,7,0
3,1,3.585,3,0
3,1,3.256,7,1
10,0,4.659,5,1
6,1,2.409,5,0
10,1,2.949,7,0
14,0,3.185,4,0
1,0,3.941,4,0
11,0,1.26,6,0
14,1,2.181,5,0
7,1,2.225,2,1
10,0,1.933,7,0
3,1,0.723,5,0
13,1,0.897,7,1
1,0,3.215,4,0
10,1,3.058,4,0
14,1,3.133,6,0
13,1,2.492,6,1
5,1,1.914,7,0
12,1,1.18,6,0
13,1,2.699,7,0
7,0,3.597,5,1
7,0,2.246,2,0
11,0,3.624,2,0
8,1,4.154,7,0
12,0,1.139,5,1
5,0,4.068,6,0
6,0,3.228,7,1
7,0,3.972,4,0
1,1,2.496,2,0
7,0,4.821,4,0
9,0,2.154,4,0
2,1,3.489,2,0
13,1,4.702,4,0
6,1,0.645,5,0
3,0,2.903,6,0
14,0,1.324,7,0
4,1,3.955,3,0
11,1,3.249,4,0
4,0,1.715,5,0
2,1,2.024,3,0
154,0,0.02,1,1
11,1,4.641,3,0
11,1,4.347,6,0
10,0,4.801,5,0
1,1,3.749,4,0
14,1,2.831,2,0
2,1,1.757,5,0
6,0,1.294,7,1
9,1,4.094,6,0
1,1,3.022,4,0
2,1,2.409,7,0
2,0,0.6,6,0
7,1,3.426,7,0
11,0,3.897,5,0
10,0,1.276,3,1
14,1,0.867,7,0
1,1,4.614,7,0
6,0,1.078,2,0
11,1,1.858,6,0
8,1,0.774,4,0
5,0,1.309,2,0
10,1,1.632,4,0
5,1,4.208,4,0
11,1,0.808,4,0
14,1,2.892,7,0
92,0,0.134,1,1
6,0,3.086,7,0
118,1,0.055,1,1
7,0,1.346,5,0
149,1,0.183,1,1
2,0,2.27,3,0
7,0,3.467,3,1
7,1,4.88,2,0
6,1,3.286,6,0
1,1,0.786,4,1
8,1,3.445,6,0
10,1,3.341,5,0
7,0,2.022,5,0
94,0,0.02,1,0
14,1,2.803,4,0
5,0,3.951,6,1
1,1,1.95,7,1
2,1,3.187,4,0
1,1,4.735,2,0
2,1,2.007,5,0
9,1,3.346,6,0
9,1,2.609,7,1
11,1,2.568,3,0
14,1,1.859,3,0
12,0,0.551,6,0
2,0,1.438,2,0
10,1,0.985,3,0
8,0,4.676,7,0
9,0,2.501,4,0
2,1,1.946,7,1
36,0,0.192,1,0
1,0,1.794,7,0
11,0,3.715,5,0
69,1,0.189,1,0
6,0,4.777,3,1
1,0,4.237,3,0
1,0,1.714,3,0
12,0,4.384,6,0
4,1,4.149,5,1
9,1,3.335,3,0
9,0,3.045,7,0
11,1,3.491,7,0
3,1,2.508,2,0
2,1,3.569,7,0
6,0,1.328,3,0
4,1,0.716,4,0
2,1,3.748,3,0
1,0,4.139,4,0
3,0,2.656,7,0
7,1,1.471,7,0
11,1,4.093,5,0
12,0,1.569,5,0
3,0,1.935,5,0
5,0,1.628,5,0
11,1,0.795,4,0
2,0,3.806,3,0
3,1,2.383,7,1
3,1,1.722,5,0
8,0,3.249,2,0
8,1,2.714,2,0
13,0,3.91,2,1
9,1,2.344,4,0
6,0,2.306,3,0
10,1,4.366,4,0
160,2,0.041,1,1
13,0,0.77,2,0
1,0,3.91,6,0
12,0,0.817,2,0
14,0,4.271,2,0
3,0,3.75,4,0
8,1,1.421,5,0
111,3,0.192,1,1
127,2,0.154,1,1
191,2,0.136,1,0
12,1,0.954,5,0
159,1,0.02,1,1
13,1,0.53,7,0
5,0,0.981,3,0
8,1,2.087,3,0
11,0,4.426,5,0
7,1,4.411,4,0
180,2,0.095,1,1
37,1,0.125,1,0
6,0,3.865,5,0
12,0,3.154,5,0
12,1,0.921,3,0
2,0,4.793,2,0
6,1,2.804,4,0
9,1,4.644,5,0
5,0,2.032,7,1
14,0,3.513,5,0
9,0,1.237,2,0
12,1,2.632,2,0
3,1,3.991,3,0
5,1,2.593,2,0
13,0,4.769,5,1
3,1,0.643,5,0
5,1,4.012,7,0
11,0,2.148,6,1
13,0,0.567,5,0
1,1,0.957,7,0
13,0,4.758,6,0
13,0,2.763,2,0
7,0,0.846,7,0
1,0,0.51,7,0
10,1,4.065,6,0
10,0,0.779,4,0
147,2,0.194,1,0
6,1,1.913,4,0
10,0,2.781,5,0
12,0,0.556,5,0
4,1,1.627,4,0
6,0,2.429,6,0
14,0,2.066,5,0
14,0,3.402,7,1
13,1,2.502,5,0
14,1,2.97,5,0
12,0,2.074,6,0
2,1,4.384,7,0
6,0,1.484,2,0
7,0,4.608,7,0
14,1,0.87,4,0
1,0,0.793,6,1
7,1,1.549,2,0
9,1,4.199,4,0
1,1,4.112,3,1
9,1,3.964,6,0
10,1,3.963,4,0
8,0,4.98,5,1
1,1,2.505,3,1
5,1,3.736,2,0
4,1,3.2,6,0
7,0,3.704,4,0
4,0,4.793,4,0
14,1,3.597,3,0
9,1,3.805,4,0
8,0,4.727,3,0
5,1,2.529,5,0
4,0,1.461,4,0
13,1,3.006,4,0
10,0,1.731,7,0
116,0,0.194,1,1
14,0,3.109,3,0
13,0,3.753,3,0
6,0,0.804,7,1
2,1,2.405,6,1
6,0,4.877,4,0
8,1,0.814,2,0
12,1,4.171,6,0
1,1,3.495,6,0
3,0,1.31,2,0
10,1,1.873,7,1
4,0,0.663,5,0
7,1,0.784,2,0
1,1,3.354,6,0
14,0,0.819,6,1
13,0,0.511,3,0
5,1,1.647,7,0
5,1,4.794,7,0
5,1,2.016,5,0
10,1,1.848,7,0
5,0,1.56,3,0
12,0,0.783,6,1
13,0,1.663,5,0
102,3,0.062,1,0
14,1,3.572,4,0
8,1,1.38,6,0
5,1,3.746,7,0
6,1,2.894,3,0
13,1,3.913,3,0
9,1,0.679,5,0
2,1,1.344,7,0
9,0,3.018,7,0
6,0,1.153,7,0
7,0,1.046,6,0
4,0,3.282,7,0
13,1,0.849,4,0
9,1,2.654,6,0
3,0,1.526,7,0
153,0,0.096,1,1
10,0,4.283,5,0
13,1,4.46,3,0
11,0,3.74,5,0
10,1,2.554,4,0
103,2,0.114,1,0
13,1,4.006,7,0
3,0,4.819,5,0
11,0,1.883,4,0
8,1,2.363,4,0
12,1,3.81,6,0
1,0,3.133,7,0
1,0,1.335,3,0
12,1,3.957,6,0
7,1,0.522,5,0
4,1,3.018,6,0
8,1,2.425,7,0
6,1,3.125,5,0
10,1,0.561,6,0
12,1,4.023,2,0
14,0,2.812,2,0
3,1,1.707,2,0
5,0,2.062,3,0
5,1,1.023,4,0
8,1,1.501,2,1
7,1,2.307,5,0
8,1,1.237,3,0
3,1,4.703,3,0
12,0,4.118,6,0
11,0,3.165,5,1
79,3,0.046,1,0
3,0,2.941,5,0
197,2,0.174,1,0
68,0,0.028,1,0
125,1,0.144,1,0
12,0,3.995,6,0
5,1,3.51,2,0
4,0,4.136,2,0
4,0,4.574,3,1
13,1,2.592,5,0
14,0,4.375,2,1
11,0,3.903,3,0
6,1,1.324,7,0
4,1,3.434,5,0
13,1,0.959,4,0
2,0,4.679,2,0
1,1,3.458,6,0
7,0,0.996,6,0
7,0,1.417,4,0
14,0,2.081,6,0
9,1,1.158,6,0
12,0,3.974,2,0
3,0,1.003,5,0
10,0,2.084,7,0
6,0,0.969,5,0
11,0,4.45,3,0
5,1,0.667,6,1
4,0,3.801,4,0
13,1,2.976,5,0
1,0,4.191,4,0
10,0,3.689,3,1
9,1,0.865,2,0
3,1,4.505,5,0
5,0,1.732,4,0
45,1,0.186,1,0
10,1,4.399,6,1
5,0,4.264,2,0
13,1,3.472,3,0
2,1,3.535,7,0
61,2,0.029,1,1
5,1,0.813,2,0
115,1,0.197,1,0
4,1,4.258,6,0
5,0,4.806,6,0
134,0,0.178,1,0
8,1,0.868,5,1
9,1,4.658,4,0
6,0,2.578,5,1
13,0,4.893,2,0
2,0,4.269,4,0
6,0,4.428,6,0
8,0,2.19,5,0
10,0,3.798,6,1
3,0,4.204,6,0
2,0,3.614,6,0
9,0,0.81,2,1
11,0,3.603,4,0
10,1,0.897,4,0
11,1,2.962,4,0
12,1,1.535,6,0
3,0,2.906,3,0
12,1,3.028,6,0
3,1,1.321,2,0
3,1,3.108,7,0
8,1,4.68,6,0
70,2,0.166,1,1
4,0,4.305,4,0
9,1,3.001,3,0
12,1,1.624,6,0
2,1,2.099,5,0
3,0,4.327,2,0
4,0,4.579,2,0
2,1,4.411,5,0
2,0,0.74,5,0
5,1,2.447,4,0
4,0,1.761,6,0
6,1,2.031,7,0
3,1,2.758,2,1
13,1,2.082,3,0
7,0,4.486,3,0
10,0,3.647,4,0
13,0,3.773,7,0
12,0,1.951,7,0
7,0,2.089,2,1
11,1,1.472,3,0
14,0,1.056,4,0
1,1,3.784,6,0
191,3,0.011,1,0
4,1,1.656,6,0
10,0,0.588,6,0
9,0,4.218,6,0
2,0,0.668,5,0
46,1,0.043,1,1
10,0,1.493,6,0
11,0,4.871,4,0
1,1,1.168,3,0
5,1,3.805,6,0
14,0,3.913,4,0
7,0,1.003,7,0
11,0,4.23,6,0
6,1,2.625,5,0
7,1,3.4,4,0
5,1,3.195,5,0
2,0,4.024,5,0
12,0,1.378,3,0
11,1,4.219,2,0
3,0,0.729,3,1
4,0,1.554,7,0
9,1,3.577,4,0
7,0,4.735,7,0
14,1,4.793,4,0
2,1,2.521,2,0
4,0,2.198,3,0
51,2,0.191,1,0
3,1,4.534,2,0
12,1,2.734,7,1
99,1,0.16,1,0
4,0,4.562,5,0
1,0,3.281,3,0
8,0,3.828,4,0
184,1,0.196,1,1
14,0,3.791,3,0
1,1,3.954,3,0
6,0,4.772,4,0
3,0,1.28,7,0
3,0,1.966,4,0
4,1,2.14,2,1
14,0,2.05,2,0
8,1,3.284,3,0
9,1,2.297,4,0
10,1,3.897,3,0
6,1,1.284,6,1
1,0,2.972,4,1
88,2,0.118,1,1
2,0,3.426,2,0
5,0,3.193,7,1
10,0,1.805,2,1
7,0,3.474,2,0
12,0,4.658,7,0
5,1,1.415,3,0
13,1,1.523,5,0
3,0,0.886,4,0
97,3,0.052,1,1
5,0,0.654,6,0
9,0,3.898,3,1
7,1,1.895,5,1
181,3,0.164,1,1
4,0,0.924,4,0
1,0,3.537,6,0
11,0,1.238,2,0
12,0,1.053,7,0
3,1,4.016,7,0
5,0,0.874,6,0
60,2,0.073,1,0
3,0,2.606,3,1
4,0,1.933,3,0
14,1,1.732,7,0
12,1,0.524,5,0
14,0,4.917,6,0
4,0,2.394,5,1
11,1,4.574,2,0
14,1,0.739,5,1
10,0,4.245,3,0
1,1,2.058,4,0
9,1,2.814,4,0
14,0,1.491,4,0
6,0,1.224,5,0
5,0,1.136,3,0
12,1,4.247,6,0
4,1,3.89,2,0
1,1,2.104,2,0
8,0,4.762,3,1
6,1,3.223,3,1
64,2,0.139,1,0
6,0,0.577,4,0
6,0,2.523,6,0
1,0,4.191,2,0
34,1,0.107,1,1
9,1,0.918,5,0
11,1,4.13,3,0
141,1,0.07,1,1
9,1,3.637,4,0
1,1,2.634,3,0
4,1,2.908,5,0
10,1,1.763,2,0
54,1,0.179,1,0
5,1,3.905,2,1
14,0,4.348,4,0
4,0,2.858,3,0
3,0,4.504,3,0
1,1,3.921,7,0
2,1,2.667,3,0
10,0,1.043,5,0
11,1,1.759,2,1
188,1,0.087,1,1
177,1,0.145,1,0
11,1,4.63,7,0
9,1,1.249,2,0
2,0,0.819,6,1
189,2,0.135,1,0
1,1,2.79,2,0
1,0,3.094,5,0
193,0,0.088,1,1
8,0,3.514,7,0
14,0,3.835,6,0
14,0,2.855,3,0
1,0,0.924,6,0
6,0,2.465,4,1
11,1,1.611,6,1
10,1,4.312,6,0
10,1,3.521,2,0
4,1,2.984,3,0
9,1,0.877,4,0
11,0,2.279,4,0
12,1,4.853,2,1
12,1,3.827,5,0
10,0,0.805,2,1
13,0,0.513,4,0
13,0,4.212,5,0
10,1,4.65,3,0
4,1,3.934,3,1
5,0,2.099,5,0
12,0,1.088,5,1
7,1,1.289,7,0
7,1,4.343,5,1
13,1,2.688,5,0
10,1,1.974,7,0
14,1,4.443,6,0
133,2,0.141,1,1
13,0,0.804,7,0
2,1,2.414,5,0
10,0,4.235,4,0
4,0,0.703,2,0
82,3,0.074,1,1
1,0,2.104,3,0
114,2,0.054,1,0
26,1,0.118,1,0
186,1,0.07,1,1
2,1,3.892,4,0
6,0,1.629,3,0
5,0,1.432,3,0
3,1,2.782,2,0
10,1,2.621,4,0
4,1,2.96,2,0
9,0,1.938,2,0
5,1,4.212,7,0
3,0,4.472,7,0
5,0,4.781,4,0
6,1,2.54,6,1
13,0,2.311,7,0
58,2,0.177,1,0
9,0,4.606,2,0
3,1,4.718,3,1
4,0,4.593,2,0
1,1,2.913,6,0
12,0,2.334,2,1
12,1,1.837,7,0
1,0,4.585,3,0
191,1,0.11,1,0
11,0,3.955,3,0
10,0,3.043,5,0
12,0,1.411,2,0
14,0,1.786,7,0
1,1,4.519,5,0
6,1,4.617,5,0
14,1,4.189,7,0
12,1,0.674,5,0
14,0,2.83,4,0
12,0,1.623,4,0
12,0,2.34,7,0
6,0,3.074,5,0
9,0,2.703,2,0
11,1,3.145,5,0
5,0,4.646,5,0
2,0,2.625,3,0
1,1,4.387,4,1
1,0,4.196,7,0
88,2,0.013,1,1
2,1,1.393,5,0
2,0,4.386,4,0
2,0,4.85,2,1
10,1,3.63,2,0
2,1,1.379,4,0
5,1,3.081,4,1
7,0,2.798,3,0
13,1,2.729,4,0
14,1,4.17,5,0
10,1,0.828,4,0
7,1,4.044,5,0
4,0,4.131,4,0
4,0,0.673,2,0
12,1,3.78,3,0
9,0,2.431,3,0
1,1,1.672,3,0
3,1,2.822,3,0
9,1,1.138,3,0
22,1,0.07,1,0
14,0,4.631,7,0
13,0,1.636,7,1
9,1,3.841,3,1
3,0,4.553,7,1
13,1,1.304,3,0
8,0,4.782,4,0
13,1,2.798,5,0
6,1,2.151,2,1
157,2,0.17,1,1
14,0,4.034,5,0
49,0,0.184,1,0
11,0,4.93,4,0
14,0,0.652,2,0
9,0,4.75,4,1
3,1,3.947,4,0
1,0,0.611,7,1
11,0,2.888,3,0
10,1,2.643,7,0
10,1,2.243,2,0
2,0,0.94,7,0
14,0,3.689,4,0
3,1,3.688,3,0
4,0,4.792,6,1
4,0,2.09,5,0
32,3,0.13,1,1
10,0,3.638,4,1
9,0,3.694,4,0
98,0,0.03,1,1
64,2,0.151,1,1
6,0,3.51,5,0
4,1,4.128,3,0
4,1,1.771,7,0
4,0,4.177,6,0
11,0,3.88,7,0
9,1,2.956,4,0
1,0,1.345,3,0
5,1,4.584,3,0
5,1,1.166,4,1
175,2,0.162,1,0
14,1,2.801,7,0
5,1,3.204,5,0
9,0,3.418,4,0
122,3,0.097,1,1
11,0,3.058,2,0
10,1,3.595,5,1
2,1,2.875,2,0
175,3,0.195,1,1
12,1,2.32,7,0
2,0,4.07,7,0
13,0,1.428,4,0
3,0,1.213,2,0
1,0,4.07,6,0
12,0,4.166,7,0
47,1,0.134,1,0
5,1,4.72,6,0
7,0,2.255,3,0
7,0,3.283,7,1
12,0,4.279,2,0
14,1,2.612,2,0
8,0,2.094,2,0
10,1,4.985,7,0
8,1,3.904,7,0
11,1,4.134,4,0
1,1,0.656,5,0
13,0,4.743,5,0
2,0,4.014,2,0
1,1,2.163,5,0
2,1,1.458,4,0
2,1,2.238,3,0
3,0,3.331,4,0
4,0,3.716,3,0
1,0,3.222,3,0
14,1,3.078,4,0
1,1,1.973,2,0
2,1,2.852,2,0
6,1,4.215,6,0
12,0,3.553,5,0
11,0,4.315,5,0
1,0,3.44,6,0
8,0,2.932,5,1
6,0,1.941,2,0
11,0,2.503,6,0
2,1,0.563,2,0
6,1,2.277,3,1
6,0,3.017,3,0
8,1,4.7,3,1
3,1,1.788,6,0
38,0,0.13,1,1
39,1,0.081,1,0
8,0,1.94,7,0
148,3,0.096,1,0
7,1,1.753,2,0
7,0,4.303,6,0
5,1,1.375,7,0
9,0,3.117,4,0
13,1,1.374,4,0
12,0,4.449,5,0
5,0,0.58,4,0
1,0,2.966,5,0
7,0,0.93,6,0
6,1,2.886,6,0
10,1,3.332,7,0
7,0,3.229,2,1
10,1,2.958,5,0
12,1,3.732,7,1
11,1,0.988,2,1
9,0,0.535,7,0
6,0,2.576,2,0
11,1,1.394,5,1
5,0,2.414,6,1
12,1,3.178,6,1
10,0,4.796,2,0
10,1,2.109,7,0
4,0,3.149,4,1
10,0,2.786,3,0
7,1,3.478,6,1
3,1,4.485,5,0
9,1,4.476,6,0
8,1,3.518,5,0
12,0,3.951,5,0
1,1,4.584,6,0
178,1,0.156,1,0
10,1,0.88,3,0
13,1,1.128,4,1
13,1,2.867,6,0
7,0,4.647,2,0
5,0,2.197,2,0
10,0,4.467,4,0
9,0,2.091,2,0
13,0,3.123,2,0
12,0,2.447,3,0
3,0,3.098,2,0
3,1,3.753,5,0
2,0,2.634,5,0
8,0,0.925,3,0
2,1,0.614,3,0
11,1,4.71,4,0
191,1,0.172,1,1
149,1,0.029,1,1
7,0,1.46,7,0
3,1,0.596,5,0
12,0,4.347,3,0
11,0,1.455,7,1
1,0,4.862,3,0
7,0,0.62,2,0
10,1,3.427,4,0
6,0,0.517,3,0
13,0,3.53,7,0
5,1,0.769,5,0
14,1,3.709,6,0
9,0,4.87,7,0
7,1,0.828,5,0
5,1,3.909,4,0
3,1,2.313,2,0
2,0,4.619,2,0
2,0,3.884,6,0
12,1,2.319,4,0
7,1,2.834,7,0
14,1,0.687,3,0
8,0,1.183,3,0
67,3,0.05,1,0
148,3,0.093,1,0
3,0,2.632,7,0
30,1,0.172,1,1
10,0,2.511,2,1
104,1,0.031,1,0
12,1,4.182,4,0
5,0,1.441,3,0
101,3,0.017,1,0
2,0,3.001,4,0
6,1,0.654,4,0
1,0,0.97,7,0
11,0,3.311,6,0
4,1,4.461,2,1
7,0,3.537,7,0
2,1,1.591,2,0
8,1,3.413,4,1
6,0,4.488,7,0
10,0,4.132,4,0
3,0,4.389,6,0
9,1,1.981,6,0
7,1,1.423,7,0
11,1,4.443,2,1
3,0,3.824,2,0
2,1,4.344,7,1
13,1,0.726,2,1
8,1,3.305,7,0
33,0,0.045,1,1
5,1,1.194,2,0
10,1,2.981,3,0
4,0,0.692,5,0
8,0,1.863,5,0
10,1,4.599,6,0
11,1,0.687,3,1
146,0,0.048,1,0
4,1,3.381,3,0
11,0,2.939,7,0
4,0,3.99,7,1
4,1,0.899,4,0
31,1,0.042,1,1
14,0,0.503,7,0
6,0,2.432,2,0
5,1,2.646,3,0
7,0,2.475,5,0
12,0,0.673,7,0
3,0,4.589,7,0
11,0,3.019,6,0
13,1,4.384,4,0
8,1,1.495,4,0
14,1,1.266,5,0
4,1,1.172,7,0
7,1,3.728,3,0
9,1,3.972,3,0
7,1,2.457,4,0
11,0,2.263,2,0
8,0,3.147,7,0
3,0,1.419,3,0
11,0,0.784,6,0
6,1,0.85,2,0
4,1,2.99,3,0
9,1,1.841,5,0
14,0,2.143,2,0
12,1,4.127,2,0
13,0,3.92,4,0
10,0,2.697,5,0
8,1,3.922,5,0
7,0,2.355,7,0
2,0,3.655,7,0
10,0,2.963,4,1
1,1,2.137,7,0
5,0,2.968,5,1
1,0,4.991,3,0
11,1,2.601,7,0
11,1,0.869,5,0
13,0,4.367,4,0
5,1,3.269,7,0
11,1,2.354,7,0
1,1,1.067,6,0
3,1,1.614,5,0
12,0,3.249,4,0
1,0,4.404,5,0
3,1,4.834,7,0
4,1,1.513,6,0
10,0,3.207,2,0
2,0,2.632,7,0
2,0,4.85,7,0
1,0,0.836,7,0
6,0,3.572,7,0
5,0,1.321,7,1
3,1,4.115,5,0
7,1,1.749,3,0
10,0,4.018,3,0
8,1,4.323,6,0
10,1,0.654,6,0
5,0,3.051,5,0
71,2,0.195,1,0
12,1,1.494,7,1
3,0,2.074,2,0
7,1,1.676,2,1
10,1,4.398,5,1
4,1,1.18,4,0
10,0,4.519,7,0
1,0,3.221,5,0
14,0,0.95,5,0
8,1,3.892,2,1
5,0,4.941,3,0
3,0,4.83,6,0
12,0,3.4,7,0
13,0,2.257,4,0
36,3,0.08,1,0
6,0,4.148,6,0
3,0,4.352,5,0
6,0,4.499,3,0
6,1,0.975,6,0
2,1,1.16,2,0
2,0,4.7,6,0
69,2,0.083,1,1
6,0,1.809,6,1
